,博士,碩士,大學,專科,高中高職,其他,博士,碩士,大學,專科,高中高職,其他,博士,碩士,大學,專科,高中高職,其他
106-1,241210440,2305145801,7520898063,3516229780,4256380126,4255627200,39553628,543482201,2391817065,1076387548,1468078707,1408140279,137893303,1334932820,4186862563,1766419680,1993642964,2411246433
106-2,173466937,1737519126,5522091413,2352486889,2858708728,2993209091,28040596,406151144,1697531559,691889536,931501807,982250530,99076072,1054699437,3172969877,1250593821,1441785670,1804782944
106-3,175513100,1754005944,5777814159,2480482017,3119492155,3246677051,28049499,397311841,1738603923,711276191,956511444,988528083,83395599,1003379173,3140587124,1244848732,1451163324,1747676038
106-4,186675890,1907625385,6142957064,2677806409,3350887807,3464798701,30379089,447661540,1884621610,765540501,1029356452,1054872801,103892626,1161867083,3741291882,1486553306,1850948651,2040119734
106-5,191360014,1971654989,6409172052,2699318243,3420603871,3518396326,32655350,468750824,2017148334,809956093,1098376816,1112575415,102869142,1139518780,3516249817,1417490240,1703653524,1955697943
106-6,176640879,1750227991,5732658010,2439610460,3106621147,3102761333,28320770,416318929,1789996675,704955058,934323118,957687806,99221220,1042041558,3397674309,1387123866,1704738146,1885011895
106-7,195101527,1963519616,6433493612,2749227550,3461126007,3389557344,33965446,449339303,1878336091,751319850,988468921,992884727,129076272,1303814737,4086716964,1698742450,2021116236,2174405145
106-8,198734180,2075307517,6936238218,2981150107,3835323266,3689384528,28647092,405019962,1716635154,697970280,948413961,931052156,127947029,1257356196,3915951152,1629472394,1891912697,2130797169
106-9,185768250,1923856574,6434279835,2767915738,3563736048,3437705216,27490211,398956770,1700000249,657719999,892311581,914857255,100383253,1063914108,3425706342,1392431107,1622988969,1876184953
106-10,195551671,2020085125,6583455214,2736047128,3430773967,3449775786,32824450,472584318,2006598249,779211246,1057635401,1063884532,116877570,1342687541,4078517701,1597369830,1832586571,2206439817
106-11,183795325,1864647885,6102117002,2518299213,3175141518,3250236338,30484453,482388165,2092497078,812165179,1112457168,1127491519,113149934,1290246761,3992705364,1566862137,1785852277,2162481176
106-12,215368356,2221515502,7007735165,2795856996,3452178212,3631408892,40308473,612427318,2612466721,1028952198,1375329526,1408595161,134340361,1393203289,4188245821,1602138011,1814362855,2265721438
