,博士,碩士,大學,專科,高中高職,其他
106年01月,137893303,1334932820,4186862563,1766419680,1993642964,2411246433
106年02月,99076072,1054699437,3172969877,1250593821,1441785670,1804782944
106年03月,83395599,1003379173,3140587124,1244848732,1451163324,1747676038
106年04月,103892626,1161867083,3741291882,1486553306,1850948651,2040119734
106年05月,102869142,1139518780,3516249817,1417490240,1703653524,1955697943
106年06月,99221220,1042041558,3397674309,1387123866,1704738146,1885011895
106年07月,129076272,1303814737,4086716964,1698742450,2021116236,2174405145
106年08月,127947029,1257356196,3915951152,1629472394,1891912697,2130797169
106年09月,100383253,1063914108,3425706342,1392431107,1622988969,1876184953
106年10月,116877570,1342687541,4078517701,1597369830,1832586571,2206439817
106年11月,113149934,1290246761,3992705364,1566862137,1785852277,2162481176
106年12月,134340361,1393203289,4188245821,1602138011,1814362855,2265721438
